 	A	-	D	P	L	J	U	N	H	F	G	C	S	T	O	I	E	Q	M	V	K
768313.6000000009	0	0	0	0	5	1	1	0	0	0	0	3	11	1	1	2	1	2	0	0	2
780318.5000000009	0	3	1	0	5	0	1	0	0	0	1	3	8	1	0	0	1	0	1	0	0
792323.400000001	0	4	1	0	5	1	0	0	0	0	1	0	3	0	0	0	3	0	2	0	2
804328.300000001	0	1	0	2	3	1	0	0	0	0	1	0	2	0	0	0	9	0	1	0	2
816333.200000001	0	2	0	2	4	1	0	0	0	3	1	0	2	1	0	0	6	0	0	0	1
828338.100000001	0	4	0	1	4	3	1	0	0	4	1	3	3	1	0	0	0	0	0	2	1
840343.000000001	0	6	0	1	3	2	1	0	0	1	1	3	6	0	0	0	0	0	0	2	0
852347.9000000011	0	4	0	0	3	0	0	0	3	0	2	1	4	0	2	0	1	0	0	0	1
864352.8000000011	0	0	0	0	2	0	0	0	3	1	3	1	7	0	2	0	1	0	1	0	2
876357.7000000011	0	1	0	0	1	2	0	0	1	2	2	0	9	0	0	1	0	0	2	0	2
888362.6000000011	0	2	0	1	1	2	0	0	3	2	2	0	5	0	1	1	0	0	1	0	2
900367.5000000012	0	1	0	1	2	2	0	0	2	1	2	0	6	0	1	0	0	1	0	0	1
912372.4000000012	0	0	0	2	1	2	0	0	0	2	2	0	7	0	0	0	5	1	0	0	0
924377.3000000012	0	0	0	2	0	1	1	1	0	2	2	0	4	0	0	0	5	0	0	0	0
936382.2000000012	1	0	0	0	1	1	1	1	2	1	2	0	2	2	0	0	0	0	1	0	3
948387.1000000013	1	1	0	0	5	1	0	0	2	2	1	0	9	2	0	0	0	0	1	1	3
960392.0000000013	0	3	0	0	4	1	0	0	0	1	1	0	16	0	0	0	0	0	2	1	0
972396.9000000013	0	3	0	0	2	2	0	0	0	0	1	0	8	2	0	0	2	0	5	0	1
984401.8000000013	0	1	2	1	3	2	0	0	2	0	1	0	3	2	0	0	5	0	3	0	4
996406.7000000014	0	1	4	1	1	2	0	0	2	0	1	0	7	1	0	0	4	0	0	0	3
1008411.6000000014	0	3	3	0	0	5	0	0	0	1	0	0	7	1	0	0	2	0	0	0	0
1020416.5000000014	0	2	1	3	2	6	0	0	0	1	0	0	4	1	0	0	3	0	0	0	0
1032421.4000000014	0	2	0	3	4	4	0	0	1	0	0	0	4	1	0	0	4	0	0	0	0
1044426.3000000014	0	3	0	0	3	1	0	0	1	0	1	2	7	0	0	0	2	0	2	0	1
1056431.2000000014	0	1	0	0	4	0	0	0	0	0	1	4	5	0	0	0	3	0	3	0	1
1068436.1000000013	0	1	0	0	6	0	0	0	0	0	0	2	1	0	1	0	3	0	1	0	3
1080441.0000000012	0	1	0	1	3	0	0	1	0	0	0	1	2	1	5	1	2	0	1	0	3
1092445.900000001	0	1	0	3	1	0	0	1	1	0	0	2	5	1	4	1	2	0	2	1	1
1104450.800000001	0	1	0	2	3	0	0	0	1	2	0	7	7	0	0	0	0	0	1	1	1
1116455.700000001	0	0	0	1	4	0	0	0	0	2	0	6	7	0	0	0	3	0	0	0	0
1128460.6000000008	0	0	0	1	3	0	0	0	0	1	0	0	5	2	0	0	6	0	0	3	1
